number,title,category,dept,question,answer,comment
5,항공운항과 내신등급,입시 상담,항공운항과,"항공과 지원하고 싶은 학생인데요!
내신 몇 정도 깔고 지원해야지 안전빵으로 
들어갈 수 있을까요 ㅜㅜ!!!!!! 혹시 5등급~6등급으로
들어가신 분들도 꽤 있나요??ㅠㅠ 나머지 과목들은
괜찮은데 수학때문에 등급이 훅 내려가요 도와주세요😭😭",5점대 반에 한명 봤어요 희박합니다. 저는 일반고 3점대로 입학했으며 주위에도 3~4등급 많습니다.,None
6,검정고시로 수시,입시 상담,항공운항과,"검정고시로 수시 넣고 면접 잘보면 들어갈수있을까요.?.?
검정고시라고 마이너스 되는건 아니겠죠😭😭",면접 있는 학과는 아니지만 검정고시 만점 내신 2등급 환산해서 들어왔어요. 내신 등급이 깎이긴 하지만 마이너스 요소는 크게 없어요!,None
7,학점,기타,화학생명공학과,상대평가로 바뀌었다는데 제가 수학엄청못하는데 수업시간에 잘 듣고 공부하면 평균 학점은 3.0이상 나올 수 있나요??,"출석 열심히 하고 
과제 제출이나 시험 공부 중간정도라도 하면 
3.0은 기본으로 넘어요",None
7,학점,기타,화학생명공학과,상대평가로 바뀌었다는데 제가 수학엄청못하는데 수업시간에 잘 듣고 공부하면 평균 학점은 3.0이상 나올 수 있나요??,던졌는데 3.2 나왔습니다 허허...,None
8,호경과 해외취업,입시 상담,호텔경영학과,해외취업 하신분들 많으신가요? 전문대는 집 가까운 곳 가라고 하는분들 많으시던데 지방에 사는 사람이 굳이 여기까지 올 메리트가 없을까요??,None,None
9,화공과 정시 몇등급 나와야 가능한가요??,입시 상담,화학생명공학과,???,None,None
10,인하공전 가고 싶습니다!,입시 상담,항공운항과,"현재 고2 입니다. 저는 일찍 취업해서 남들보다 일찍 자리잡고, 제가 하고싶은 취미생활 하면서 지내고 싶다는 생각을 하고있어요. 그러던중 인하공전 항공운항과를 발견하게 되었고, 2년제라 보다 빠르게 취업을 준비할 수 있음을 알게 되었습니다. 승무원이라는 직업에 대해 평소 관심이 많기도 했구요! 

질문 드리고 싶은 사항들을 말하자면

1. 키가 매우 작습니다.. 158 입니다🥹
제 입으로 말하기는 부끄럽지만, 평소 친구들이 승무원이나 한국무용생 느낌 난다고 할 정도로 승무원적 이미지는 어느정도 갖추고 있으며 또래 친구들에 비해 얼굴이 많이 작고 (유아용 마스크 써요..) 뼈대가 가늘고 마른편이라 비율적으로 딸리는 편은 아닙니다. 지금 학교에서 전교부회장을 맡고 있어서 성격도 사교적인 편이고 앞에 나서서 말 하는데 어려움을 겪지는 않습니다! 그런데 항공과 합격생분들 보니 다들 160은 넘으시더라구요.. 그래서 키 말고 다른 부분은 다 자신이 있지만 키 때문에 자꾸 자신감이 사그라듭니다 ㅠㅠ 제가 감히 인하공전 항공운항과에.. 승무원에.. 도전해봐도 되는걸까요?😭

2.항공사 합격률 높은지, 어떤 장점이 있는지 등등 내부적인 사항이 궁금합니다!

3.항공과는 학생부보다 면접이 중요하다고 들었지만, 내신을 최대한 많이 올려놓으면 그만큼 더 많이 유리할지 궁금합니다.

4. 승무원 학원을 다닌다면 언제부터 다니는것이 좋을지 궁금합니다.

질문 사항이 많은데 답변 해주시면 너무 감사할거 같습니다!🥹 요즘 입시가 얼마 안 남은걸 체감중이라 도움이 필요해요..ㅠㅠ 부탁 드립니다!","응원합니다만 국내지상직이라면 모를까 기내 승무원은 160이 넘지 않으면 힘들 거 같아요 면접도 굽이 없는 신발로 진행하기 때문에 현실적으로 어려울 것 같네요 하지만 답변을 교수님께서 원하는 방향으로 잘 준비하시면 가능성이 있을 거 같아요
면접이 대부분 차지하기 때문에 5등급 아래로만 피하면 좋을 거 같네용 
승무원 학원은 혼자 준비할 자신이 없다면 지금부터 다니길 추천드려요 만약 다닐 생각이 없으시면 면접 답변이나 후기는 네이버 카페 찾아보면 많이 나오니깐 알아보시면 좋을 듯 해요",None
11,학점.,기타,건설환경공학과,수학 더럽게 못하는데 학점 3점 목푠데 힘들까요??,None,None
12,실험을 많이싫어하는데 안가는게맞을까요..?,대학 생활,화학생명공학과,실험을 되게싫어해요..,여길왜오냐 ㅋㅎㅋㅎㅋㅎㅋㅎㅎ 딴데가 여기는 아니야..,"[질문자]? 뭔소리임;[답변자]이걸 이해 못한다고?? 여러가지 의미로 하고싶은말은 많지만 하진않을게;[질문자]뭔소리냐고 니 똑바로말해 ㅋㅋㅋㅋ;[질문자]아 이해함 딴데가란거지?;[답변자]어후;[질문자]ㅋㅋㅋ 왜 ㅋㅋㅋ 딴데가란거잖아;[답변자]아니야... 넌 와도 괜찮을 것 같아 무조건 와줬으면 좋을 것 같아:);[질문자]근데 실험할때 발암물질같은거마신다던데진짜야??;[답변자]상식적으로 그런걸 마신다고하면 누가 화공과 오겠냐 임마....
실험으로 암걸릴확률이 너가 서울대갈 확률보다 낮으니 괜찮다;[질문자]알겠어고마워;[답변자]그려 넌 이런 질문 한것 자체가 열심히 살려고 하는거니까 뭐든 잘 될거다! 그러니 빡세게 공부해서 더 좋은곳가라! 넌 할 수 있어:);[질문자]안돼 나 공부못해.. ㅠㅠ 공대 많이어려워??;[답변자]ㄴㄴ 화학 1만 하고오면 어지간한 빡대가리라도 적응하기쉬울듯
애초에 전문대라 그렇게 안빡세임마;[질문자]아항 고마워 지금 생명1하고있는데 생명은필요없어??;[답변자]생명은 그냥 개념만 알고오셈 난 생명안해도 괜찮긴했는데 하고오면 적응하는데 더 쉽긴할듯, 근데 생명 1 배우는거 보면 고2아니야??;[질문자]나 22살이양....;[답변자]아하...형님이셨군요... 재취업을 목적으로 오시는거면 나쁜 선택은 아닙니다:) 힘내십쇼 응원합니다;[질문자]나 여자야.... ㅡㅡ;[답변자]저도 거유미소녀랍니다><;[질문자]여자얌??;[답변자]남잔데용??;[질문자]모야 소녀라해서여자인줄알았자나 ! 넌 학과만족해??어떤거가타;[답변자]개인적으로는 20살 새내기가 오기에는 좋지않다고봄 2년제라서 그런지 학교에 정이안감 그래도 다른일하다 재취업보고온 사람들한테는 나쁘지않은 선택지 인것 같기도함 생산직이지만 대기업에 취직하기에도 나쁘지않기도 하구요:);[질문자]오옹 고마워!! 실험 싫어하면 안되겠징...?ㅠ 나실험완전시러하는데 화학이랑생명과학은 좋아해서 ㅠㅠ어뜩해..;[답변자]실험 싫어하면 스트레스좀 받을걸?? 그런 개인적인 기호도는 어쩔수없지만 열심히하면 성적은 나오니까 와서 열심히만해요 그럼 괜찮음;[질문자]고마워..ㅎㅎ 너는꿈이머야;[답변자]소방관 준비중입니다:);[질문자]소방관이면 소방쪽으로가야되는거아냥? ㅋㅎㅋㅎ;[답변자]애초에 대학쓸때는 꿈이없었거든요 ㅎㅎ 그리고 소방쪽 학과보다도 여기가 취직은 잘되서 괜찮아요:);[질문자]아항 구래! ㅎㅎ 나두너처럼 인하공전가구시퍼..;[답변자]근데 답장이 엄청 빠르시네요... 답 보내고 10초 있다가 드가면 답이와있어요!;[질문자]ㅋㅋㅋ 나원래빨라 그래서조앙??;[답변자]좋은건 모르겠지만 이제 자려구요:) 누님도 안녕히 주무세요;[질문자]잘쟈!!;[답변자]👍"
12,실험을 많이싫어하는데 안가는게맞을까요..?,대학 생활,화학생명공학과,실험을 되게싫어해요..,어차피 대부분 실험이 조별 실습이라 그냥 같이 묻어가면 괜찮아요,[질문자]아항 알겠습니다!감사해요
13,승무원 관련 질문입니다!,입시 상담,항공운항과,"일단 저는 고1 남자입니다
-남자도 지원 가능한가요?
-내신 성적은 어느 정도 보나요(제 3월 모고 성적은 평균 6등급입니다…)
-언어관련 자격증을 따는 것도 입시에 도움이되나요?",내신성적 더 높히셔야 됩니다. 남자분들도 합격하긴 하나 굉장히 소수이고 내신 등급 높힐 자신 없으시면 토익 점수 만들어두셔야해요.,[질문자]토익은 몇점 정도면 좋은가요??;[답변자]수시전형보시면 다 나와있습니다
14,여자들은 어디로 취업하나요,전공/진로,화학생명공학과,"화공에 여자 남자 성비가 어떻게 되나요??
여성분들 어디로 취업 많이 하는지 혹시 불이익있는지 궁금합니다…! 보통 생산직으로 취업하나요?
그리고 2년제 맞죠?",ㅇㅇ 뚝딱뚝딱 생산일용직이야 여자는 잘 안뽑음 걍 4년제가,[질문자]가고 싶은데요…
14,여자들은 어디로 취업하나요,전공/진로,화학생명공학과,"화공에 여자 남자 성비가 어떻게 되나요??
여성분들 어디로 취업 많이 하는지 혹시 불이익있는지 궁금합니다…! 보통 생산직으로 취업하나요?
그리고 2년제 맞죠?",여자는 분석직으로 많이 가용~~~~ 성비는 7:3정도 되고요,"[질문자]그럼 혹시 어느 기업으로 취업하나요?? 
대충이라도 알려주실 수 있나요?..;[답변자]삼바라고 하는 회사용;[질문자]넵 감사합니당"
14,여자들은 어디로 취업하나요,전공/진로,화학생명공학과,"화공에 여자 남자 성비가 어떻게 되나요??
여성분들 어디로 취업 많이 하는지 혹시 불이익있는지 궁금합니다…! 보통 생산직으로 취업하나요?
그리고 2년제 맞죠?",반이 여러개라 전체 성비는 잘 모르겠는데 저희 반은 2:1 정도고 다들 삼바가고 싶다 하더라고요.,"[질문자]다들 삼바 많이 가나요?? 
삼바가기 빡세진 않은지…"
15,수시,입시 상담,항공운항과,항공운항과 수시는 어떤과목을 위주로 보나요?,공부는 바닥 칠 정도 아니면 거의 안중요해요 사년제 항공과는 성적 꽤 보는 데 여긴 성적보단 무조건 면접 잘 보는게 답,"[질문자]수시를 볼때 2개의 학기를 보는건가요
아니면 2개의 시험 (중간고사 따로 기말고사 따로) 선택할수 있는건가요?"
16,인하공전 좋은가요?,대학 생활,항공운항과,"고등학교 1학년 여학생입니다. 승무원이 하고싶어 여러 정보를 찾아보다가 승무원하면 유명한 학교가 인하공전 이더라구요
근데 대학백과를 보며 현재 다니고 계시는 분들은 인하공전에 대해 부정적의견이 좀 많더라고요. 시설도 낡고 군기도 있다던데 그렇게나 심한가요? 다른 분은 취업률도 완전 거품이고 다닐 만한 학교가 아니라는 솔직한 말씀에 조금 두려워집니다... 그렇게나 다니기 힘든가요?",정말 승무원 노리실 거면 이 학교 준비하시면 좋죠 그래도 항공과 탑인데...취업은 대한항공에 약간 유리하긴 하지만 본인 하는 만큼만 가는 것 같아요~ 그리고 건물 낡아보여도 내부시설은 괜찮고 군기도 없어졌어요! 적어도 저는 만족하면서 다니는 중입니다:) 여기 다른 과도 글 써지니까 너무 남의 의견에 의존하지 말고 본인의 확실한 주관을 가지고 진로 잘 결정하길 바라요!,[질문자]너무너무 감사합니다!! 덕분에 걱정이 조금 줄어들었어요😊 포기하지 않고 열심히 해볼게요!!! 답변 주셔서 정말 감사합니디🥹🫶
16,인하공전 좋은가요?,대학 생활,항공운항과,"고등학교 1학년 여학생입니다. 승무원이 하고싶어 여러 정보를 찾아보다가 승무원하면 유명한 학교가 인하공전 이더라구요
근데 대학백과를 보며 현재 다니고 계시는 분들은 인하공전에 대해 부정적의견이 좀 많더라고요. 시설도 낡고 군기도 있다던데 그렇게나 심한가요? 다른 분은 취업률도 완전 거품이고 다닐 만한 학교가 아니라는 솔직한 말씀에 조금 두려워집니다... 그렇게나 다니기 힘든가요?",솔직히 근데 승무원쪽에서는 인공이 이미지적으로는 원탑인듯 해용..,[질문자]앗! 네네 감사합니다!😊
17,인공 입시전형,입시 상담,항공운항과,현재 고3입니당. 토익점수 700후반 보유중이고 내신은 2학년 2학기까지 5.5(인공 식 계산 아님)입니다. 어특전형이 일잔전형보다 힘들 수 있다는 소리를 들어서 지금 제 상황에서 어특전형과 일반전형 중 어떤 전형이 유리할까요?,어특은 보통 반수생이 많아서 일반고이시라면 일반전형 추천해드려요!,[질문자]이번에 토익 860점 받았거든요? 이래도 그냥 일반전형으로 넣는게 나은가요..
17,인공 입시전형,입시 상담,항공운항과,현재 고3입니당. 토익점수 700후반 보유중이고 내신은 2학년 2학기까지 5.5(인공 식 계산 아님)입니다. 어특전형이 일잔전형보다 힘들 수 있다는 소리를 들어서 지금 제 상황에서 어특전형과 일반전형 중 어떤 전형이 유리할까요?,일반고로 넣으시고 답변에 어특을 넣어서 강점으로 가지고 가면 될 거 같아요,[질문자]토익점수가 있는데 왜 어특 전형으로 안넣었냐고 하시면 어쩌죠..? 그리구 제가 내신 5.5라 좀 위험할수도 있지 않을까요...?
17,인공 입시전형,입시 상담,항공운항과,현재 고3입니당. 토익점수 700후반 보유중이고 내신은 2학년 2학기까지 5.5(인공 식 계산 아님)입니다. 어특전형이 일잔전형보다 힘들 수 있다는 소리를 들어서 지금 제 상황에서 어특전형과 일반전형 중 어떤 전형이 유리할까요?,"1차 일반고, 2차 어특전형을 추천드립니다.
일반고가 선발자수가 많당보니 유리할 것 같아요.",None
18,대학생활,대학 생활,화학생명공학과,이번년도 화공과 엠티갔나요? 전문대긴하지만 대학로망스가 있어서 궁금합니다,안 갔어요 각자하기 나름이겠지만 대학생활 하고 싶으면 4년제 가세요 여긴 취업하러 오는 곳입니다,None
19,내신 중간고사 기말고사 중 제일잘본것 두개,입시 상담,항공운항과,"내신 시험중 제일 잘본시험성적 두개만 있어도 된다는데 맞나용..?
나머지는 다 면접맞나요..?",None,None
20,비서학과 면접 준비 학원,입시 상담,비서학과,"혹시 다들 면접 준비 학원에서 하시나용..?
진로를 정한지 얼마 안 되어서 시간도 얼마 안 남았고...
지방에 살아서 학원 다니는 건 무리인데
다들 학원에 다니셨는지 궁금해요!
독학하신 분들 합격 비율이 어느 정도인 지도 궁금하고..
만약 독학하신 분들이 계신다면 합격 비법도 알려주세여!
좋은 하루 보내세용🎀","저는 혼자 준비했습니다!
경쟁률도 생각보다 낮고 이래서 1,2차 안에는 합격하실 수 있다고 생각합니다! 제가 알기로는 학원 다니는 사람이 더 적었어요!! 거의 없었습니다!

합격비법은 면접이라는 자리가 아무래도 긴장이 많이 되더라구요!! 남은 기간 만이라도 면접 준비 + 내신만 준비하신다면 크게 문제 없이 합격하실 수 있을거라고 생각합니다:)",[질문자]면접 준비 언제부터 하셨는지 여쭈어봐도 될까요?!;[답변자]저는 여름방학 시작하고 조금씩 했습니다!
20,비서학과 면접 준비 학원,입시 상담,비서학과,"혹시 다들 면접 준비 학원에서 하시나용..?
진로를 정한지 얼마 안 되어서 시간도 얼마 안 남았고...
지방에 살아서 학원 다니는 건 무리인데
다들 학원에 다니셨는지 궁금해요!
독학하신 분들 합격 비율이 어느 정도인 지도 궁금하고..
만약 독학하신 분들이 계신다면 합격 비법도 알려주세여!
좋은 하루 보내세용🎀",제 생각에는 외모랑 느낌? 인상이 좌우하는 게 큰듯해요 그걸 기반으로 어느정도 말만 잘하면 충분히 가능해여!! 담년도는 남학생들도 모집예정이라 좀더 어필가능하시먄 좋을듯해요,[질문자]남학생들도 모집해요..?!;[답변자]교수님들 ㅇ말씀으론 그러십니다!!
21,제가 일반고 4.24인데 호텔관광과 합격 가능할까요..??,입시 상담,호텔경영학과,"제가 제목 그대로 일반고 4.24인데 호텔관광과 합격 가능할까 싶어서요,, 면접이 중요한 건 알고 있습니다..!!",네 가능합니다 과도 하향으로 나올거에요,[질문자]혹시 면접에 대한 팁이 있을까요..?
21,제가 일반고 4.24인데 호텔관광과 합격 가능할까요..??,입시 상담,호텔경영학과,"제가 제목 그대로 일반고 4.24인데 호텔관광과 합격 가능할까 싶어서요,, 면접이 중요한 건 알고 있습니다..!!","예상질문 나오면 그거 답변 많이 연습하세요
안 더듬는게 제일 좋은데 말 더듬어도 내가 이 과에 오고싶다 이거 많이 보여주시면 합격할 수 있을겁니다!!
그리고 다른 분들 보고 기죽지 마세요!! 저도 면접 전에 되게 걱정하고 면접 당일에 학교 가보니까 다들 너무 이쁘고 마르셨더라고요 통통인 저는 다이어트 할 걸 하면서도 엄청 기죽었는데 지금 와서 생각하니까 쓸데없는 걱정이였어요
웃는 것도 긴장해서 잘 안되더라고요 미리 자연스럽게 웃는 거 준비하세요!!
내년에 학교에서 보면 좋겠네요😊",None
22,인하공전 기준으로 특성화고 내신2.2~2.3나와요,입시 상담,화학생명공학과,23학년도 입결기준으로 들어갈 수 있는 점수인가요?,"특성화고는 1등급은 떠야해요
같은 특성화고 출신 친구들 다 전교 1,2등임",None
22,인하공전 기준으로 특성화고 내신2.2~2.3나와요,입시 상담,화학생명공학과,23학년도 입결기준으로 들어갈 수 있는 점수인가요?,네 저 2.1로 전기공학과 입학 했습니다,None
22,인하공전 기준으로 특성화고 내신2.2~2.3나와요,입시 상담,화학생명공학과,23학년도 입결기준으로 들어갈 수 있는 점수인가요?,화학생명공학과 특성화고 1.9 였는데 예비받고 들어왔어요,None
23,직장인 입학 질문,입시 상담,화학생명공학과,"기업 계약직있다가 입학 희망하는데 수능 다시봐야할까요? 현재 전대졸 졸업장 있습니다(학은제)
입학한다면 몇등급까지 올려야할까요?",전문대졸 졸업전형으로 하시면 성적상관없이 입학가능합니다. 모집전형에 전문대졸 전형 확인해보세요,None
24,정시 등급,입시 상담,실내건축학과,정시는 몇 등급정도 나와야 합격할수있나요..?,4등급 이상 나오시면 됩니다! 작년 입결 확인해보시면 될 것 같아요.,None
25,내신등급,입시 상담,정보통신공학과,"수시 인하공전은 잘나온학기2개만 반영한다고 들었는데 
1학년 1학기3. 83 2학기4.71
인데 붙을수있을까요ㅜㅜ
2,3학년은 망했어요",과마다 다르지만 대부분의 공과 대학은 추합으로 붙으실 것 같아요,"[질문자]공과대학과 산업디자인과 생각중입니다
떨어지진 않을까요?? ㅜ"
25,내신등급,입시 상담,정보통신공학과,"수시 인하공전은 잘나온학기2개만 반영한다고 들었는데 
1학년 1학기3. 83 2학기4.71
인데 붙을수있을까요ㅜㅜ
2,3학년은 망했어요",전화기는 힘들고 낮은 공대는 추합 가능성 있어보입니다,None
26,수학 9등급인데 인하공전 가능한가요,입시 상담,전체,국어 2 영어 3 사탐 둘 다 2등급인데 가능한가요. 공대쪽으로 가서 기술 배우고 싶은데,전문대는 선택 2개해서 보는거라 수학 빼고 지원하면 됨,None
26,수학 9등급인데 인하공전 가능한가요,입시 상담,전체,국어 2 영어 3 사탐 둘 다 2등급인데 가능한가요. 공대쪽으로 가서 기술 배우고 싶은데,근데 수학9에 사탐이면 공대 가서 수업 못따라가지 않을까요,None
26,수학 9등급인데 인하공전 가능한가요,입시 상담,전체,국어 2 영어 3 사탐 둘 다 2등급인데 가능한가요. 공대쪽으로 가서 기술 배우고 싶은데,올수는 있는데 수업하기 많이 힘들거에요.. 물리랑 수학은 기본으로 깔고 가서..,None
26,수학 9등급인데 인하공전 가능한가요,입시 상담,전체,국어 2 영어 3 사탐 둘 다 2등급인데 가능한가요. 공대쪽으로 가서 기술 배우고 싶은데,"여기 공대 쫌 빡셈
미적분 벡터 스칼라
극한 로그와미적 다 나옴 9등급이면 공과 ㄴㄴ",None
26,수학 9등급인데 인하공전 가능한가요,입시 상담,전체,국어 2 영어 3 사탐 둘 다 2등급인데 가능한가요. 공대쪽으로 가서 기술 배우고 싶은데,오기전에 수학공부 좀 하고와야 해요 저도 수학 못하는바람에 공대와서 힘들게 하고있음...,None
27,승무원 전공??ㅜㅜ,전공/진로,항공운항과,"고3이고 항공과는 무조건 갈 수 있는 내신입니다. 
요즘 고민인게 인하공전에 가면 대한한공 이외의 항공사에서는 일부로 인하공전 학생은 뽑지 않는 경우가 많다고 하는데 실제로도 그럴까요..??ㅠㅠ 
내신이 3점대라 항공과 말고도 다른 학과도 생각 중인데 무조건 항공과를 가야하는 게 맞는지도 모르겠습니다ㅜㅜ
항공과에 대한 부정적인 시선도 많아서요..",무조건 항공과를 가야하는건 아니지만 인하공전 항운과만의 메리트가 있습니다. 더 고민해보시고 후회 없는 결정 하시길 바래요!,None
27,승무원 전공??ㅜㅜ,전공/진로,항공운항과,"고3이고 항공과는 무조건 갈 수 있는 내신입니다. 
요즘 고민인게 인하공전에 가면 대한한공 이외의 항공사에서는 일부로 인하공전 학생은 뽑지 않는 경우가 많다고 하는데 실제로도 그럴까요..??ㅠㅠ 
내신이 3점대라 항공과 말고도 다른 학과도 생각 중인데 무조건 항공과를 가야하는 게 맞는지도 모르겠습니다ㅜㅜ
항공과에 대한 부정적인 시선도 많아서요..",그런 생각 들면 굳이 올 필요 없어요.,None
27,승무원 전공??ㅜㅜ,전공/진로,항공운항과,"고3이고 항공과는 무조건 갈 수 있는 내신입니다. 
요즘 고민인게 인하공전에 가면 대한한공 이외의 항공사에서는 일부로 인하공전 학생은 뽑지 않는 경우가 많다고 하는데 실제로도 그럴까요..??ㅠㅠ 
내신이 3점대라 항공과 말고도 다른 학과도 생각 중인데 무조건 항공과를 가야하는 게 맞는지도 모르겠습니다ㅜㅜ
항공과에 대한 부정적인 시선도 많아서요..",인하공전 항공운항과의 취업률이 압도적인 이유는 오시면 알게됩니다. 직접 수업을 들어봐야 느껴요. 저도 3등급대 내신으로 수도권4년제 일반과 합격후 인하공전 선택했습니다.,None
27,승무원 전공??ㅜㅜ,전공/진로,항공운항과,"고3이고 항공과는 무조건 갈 수 있는 내신입니다. 
요즘 고민인게 인하공전에 가면 대한한공 이외의 항공사에서는 일부로 인하공전 학생은 뽑지 않는 경우가 많다고 하는데 실제로도 그럴까요..??ㅠㅠ 
내신이 3점대라 항공과 말고도 다른 학과도 생각 중인데 무조건 항공과를 가야하는 게 맞는지도 모르겠습니다ㅜㅜ
항공과에 대한 부정적인 시선도 많아서요..",항공과는 내신으로 가는게 아니다 ㅋㅋ,None
28,화공과 수능,입시 상담,화학생명공학과,"수학6 영어3 과탐3 가능할까요,,,",너무양심 없으신것같아요 수학만  조금더 올리면될듯,[질문자]넵 답변감사해요
